epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,7650.5,1.50926,1.08009,1.1399,0.74302,0.71804,0.76431,0.49337,0.87766,0.80345,0.86157,0.00971686,0.00971686,0.00971686
145,7704.33,1.52115,1.14727,1.12749,0.75439,0.73327,0.76786,0.49385,0.87837,0.7984,0.8542,0.00971488,0.00971488,0.00971488
146,7758.03,1.52234,1.06912,1.16814,0.75975,0.74411,0.7598,0.4959,0.87303,0.79775,0.85595,0.0097129,0.0097129,0.0097129
147,7811.91,1.57099,1.12788,1.18495,0.76601,0.73954,0.77235,0.50158,0.86382,0.79314,0.85832,0.00971092,0.00971092,0.00971092
148,7865.83,1.50395,1.08907,1.17737,0.75588,0.73663,0.7623,0.50177,0.86739,0.79307,0.85524,0.00970894,0.00970894,0.00970894
149,7918.79,1.56141,1.12894,1.13601,0.75771,0.72476,0.76428,0.50261,0.86332,0.79339,0.84544,0.00970696,0.00970696,0.00970696
150,7972.58,1.50013,1.10164,1.15402,0.76344,0.70675,0.76521,0.50356,0.85661,0.79118,0.84602,0.00970498,0.00970498,0.00970498
151,8026.3,1.5289,1.0915,1.16007,0.75996,0.71732,0.76339,0.50388,0.86132,0.7889,0.8454,0.009703,0.009703,0.009703
152,8080.07,1.49733,1.10211,1.12941,0.77518,0.70294,0.76217,0.50557,0.86131,0.79215,0.83981,0.00970102,0.00970102,0.00970102
153,8133.71,1.53489,1.09366,1.15769,0.78571,0.68973,0.76102,0.50272,0.85156,0.78777,0.83574,0.00969904,0.00969904,0.00969904
154,8186.65,1.46744,1.0786,1.1121,0.7948,0.68622,0.75921,0.49804,0.85615,0.78953,0.83639,0.00969706,0.00969706,0.00969706
155,8239.49,1.48401,1.08659,1.12849,0.79384,0.68366,0.76008,0.49939,0.85224,0.78742,0.83586,0.00969508,0.00969508,0.00969508
156,8292.49,1.51555,1.10111,1.1538,0.75054,0.7171,0.76418,0.50591,0.84857,0.78647,0.83365,0.0096931,0.0096931,0.0096931
157,8346.13,1.56672,1.09588,1.13765,0.75119,0.71176,0.76189,0.50159,0.84833,0.78814,0.83369,0.00969112,0.00969112,0.00969112
158,8399.1,1.49527,1.05434,1.17755,0.74692,0.71318,0.76037,0.50587,0.84678,0.79322,0.83334,0.00968914,0.00968914,0.00968914
159,8451.97,1.53348,1.12397,1.14333,0.74705,0.71559,0.7604,0.50561,0.84732,0.79739,0.83387,0.00968716,0.00968716,0.00968716
160,8505,1.52113,1.13199,1.1363,0.74131,0.71768,0.75906,0.50168,0.84285,0.79832,0.83244,0.00968518,0.00968518,0.00968518
161,8557.96,1.54775,1.14205,1.16018,0.75149,0.70119,0.75826,0.50336,0.83994,0.79834,0.83319,0.0096832,0.0096832,0.0096832
162,8610.97,1.5236,1.10463,1.15221,0.75587,0.69761,0.75645,0.50304,0.84209,0.79913,0.83351,0.00968122,0.00968122,0.00968122
163,8663.8,1.50962,1.10903,1.105,0.75131,0.69904,0.75618,0.49848,0.84123,0.80118,0.83289,0.00967924,0.00967924,0.00967924
164,8716.77,1.57933,1.10202,1.19689,0.75328,0.70334,0.75579,0.50103,0.83487,0.80125,0.83239,0.00967726,0.00967726,0.00967726
