class_id,latitude,longitude,confidence,length,breadth,heading,date,aoi_id,source
0,41.90845723,8.73753778,0.25,96.8,23.6,34.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.90524506,8.72946611,0.232,86.5,21.7,34.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.87597498,8.60102174,0.777,36.8,9.1,113.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.88809405,8.59013575,0.534,36.2,11.6,137.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.73657343,8.69888475,0.466,36.7,8.9,92.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.91563268,8.75837504,0.224,36.0,11.2,141.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.84858371,8.77264271,0.803,17.1,5.1,114.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.7128208,8.81217483,0.797,15.2,4.4,64.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.73936049,8.77479512,0.785,13.0,5.6,58.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.81158127,8.76054348,0.782,14.2,4.9,125.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.79952795,8.72462293,0.782,12.0,8.3,147.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.9062245,8.65807308,0.776,9.3,4.1,74.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.84878043,8.76228025,0.769,5.3,4.6,77.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.98871679,8.66394342,0.769,24.0,6.8,20.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.76174805,8.67323749,0.766,19.6,6.4,168.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.84184646,8.76282504,0.764,8.4,4.8,174.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.80101265,8.72387172,0.762,17.7,8.0,8.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
